Executing 12 at PC 207
AF:1810	BC:110	DE:C04D	HL:404E	SP:FFFE
Executing 1c at PC 208
AF:1810	BC:110	DE:C04E	HL:404E	SP:FFFE
Executing 20 at PC 209
AF:1810	BC:110	DE:C04E	HL:404E	SP:FFFE
Executing 2a at PC 206
AF:10	BC:110	DE:C04E	HL:404F	SP:FFFE
Executing 12 at PC 207
AF:10	BC:110	DE:C04E	HL:404F	SP:FFFE
Executing 1c at PC 208
AF:10	BC:110	DE:C04F	HL:404F	SP:FFFE
Executing 20 at PC 209
AF:10	BC:110	DE:C04F	HL:404F	SP:FFFE
Executing 2a at PC 206
